Time (s),Pack Voltage (V),Pack Current (A),Pack Power (kW),Avg Cell Temperature (C),SOC (%),Max Cell Voltage (V),Min Cell Voltage (V),Max Cell Resistance (mOhm)
1.14,389.9,126,48.97,22.4,86.88,4.13,3.48,39.92
1.15,358.4,208,74.60,34.5,83.18,4.09,3.28,46.53
1.16,353.9,256,90.71,30.1,84.01,3.90,3.21,31.53
1.17,324.6,76,24.56,26.9,97.54,3.93,3.49,36.18
1.18,340.8,148,50.60,20.6,93.44,4.08,3.69,47.14
1.19,301.9,160,48.25,47.5,92.83,3.88,3.67,11.72
1.20,367.9,192,70.79,46.9,91.89,4.08,3.67,26.19
1.21,372.4,60,22.36,36.0,82.12,4.04,3.40,36.14
1.22,320.0,263,84.03,34.0,88.39,3.72,3.65,17.03
1.23,323.9,166,53.68,34.6,80.25,4.12,3.21,30.77
1.24,338.6,155,52.56,36.8,80.98,4.16,3.45,32.67
1.25,353.3,134,47.18,28.5,93.90,3.87,3.58,37.35
1.26,335.4,172,57.59,37.0,81.84,3.91,3.56,42.79
1.27,358.9,162,58.21,26.7,86.51,4.19,3.27,27.62
1.28,310.7,152,47.33,37.5,98.50,3.74,3.26,23.52
1.29,361.9,294,106.35,21.7,95.07,3.75,3.66,36.67
1.30,351.6,96,33.81,41.7,93.81,4.12,3.45,45.40
1.31,397.6,280,111.38,47.6,88.23,4.05,3.35,41.89
1.32,397.2,134,53.33,41.7,99.01,4.01,3.64,27.05
1.33,392.5,225,88.34,43.1,85.22,3.88,3.53,39.38
1.34,351.1,177,62.23,30.2,86.43,3.79,3.62,12.89
1.35,326.4,174,56.93,39.1,82.57,3.89,3.42,15.23
1.36,348.9,215,75.18,35.4,87.47,3.79,3.43,35.88
1.37,363.8,134,48.58,44.1,89.39,4.18,3.58,33.66
1.38,348.4,289,100.58,32.9,89.60,3.77,3.62,28.58
1.39,341.2,195,66.67,22.7,90.43,3.97,3.34,38.31
1.40,384.0,72,27.65,44.7,85.06,3.99,3.55,27.44
1.41,303.8,114,34.66,46.6,83.56,4.10,3.66,44.92
1.42,317.5,184,58.35,45.6,84.56,4.16,3.46,41.20
1.43,354.3,101,35.94,39.4,84.57,3.90,3.37,13.09
1.44,308.0,156,48.02,45.6,92.80,4.11,3.23,41.95
1.45,324.6,295,95.86,26.5,87.79,4.17,3.62,27.83
1.46,369.8,186,68.61,29.1,86.84,3.73,3.40,19.47
1.47,304.6,110,33.37,28.8,92.68,3.82,3.24,21.86
1.48,388.2,93,36.28,20.7,83.32,4.01,3.52,48.33
1.49,383.3,59,22.56,36.1,99.78,3.77,3.66,47.15
1.50,355.4,209,74.21,45.2,99.35,3.86,3.53,43.78
1.51,366.4,136,50.01,46.6,86.84,3.74,3.28,11.35
1.52,318.5,190,60.40,20.2,91.43,3.71,3.45,24.55
1.53,380.8,98,37.31,26.7,86.31,4.10,3.46,44.63
1.54,350.7,241,84.54,30.6,98.30,3.96,3.55,29.70
1.55,360.3,164,58.97,40.0,98.38,4.00,3.47,18.74
1.56,382.8,85,32.35,44.7,91.09,3.96,3.24,35.89
1.57,347.7,183,63.62,32.5,82.74,3.99,3.42,39.85
1.58,344.3,204,70.21,39.6,90.57,4.12,3.21,16.29
1.59,358.2,183,65.71,32.8,91.15,3.97,3.43,33.30
1.60,310.4,135,41.89,39.6,88.35,3.73,3.63,49.19
1.61,305.4,150,45.74,42.8,85.57,3.98,3.59,11.19
1.62,323.2,284,91.73,43.3,98.91,4.07,3.33,16.38
1.63,383.9,54,20.54,31.7,94.94,3.94,3.67,19.85
1.64,360.4,149,53.82,49.9,99.73,3.89,3.67,24.93
1.65,319.2,241,77.02,41.6,90.44,3.91,3.32,25.58
1.66,321.7,273,87.75,27.5,85.67,4.08,3.64,23.96
1.67,359.9,212,76.36,38.4,95.78,4.10,3.49,20.59
1.68,332.6,115,38.39,40.1,91.53,3.74,3.33,27.99
1.69,300.2,241,72.31,28.8,83.59,3.78,3.37,11.62
1.70,317.0,65,20.52,32.7,86.47,4.19,3.31,34.90
1.71,312.3,85,26.60,33.9,94.27,4.17,3.25,10.22
1.72,374.8,146,54.84,25.9,91.77,4.02,3.65,44.65
1.73,350.3,62,21.78,48.4,86.71,3.72,3.23,18.59
1.74,312.8,289,90.55,23.1,92.12,3.94,3.55,27.15
1.75,359.0,97,34.89,34.0,96.30,4.03,3.38,18.12
1.76,312.1,102,31.73,45.9,83.01,4.12,3.48,20.13
1.77,337.8,74,24.88,37.7,90.25,3.97,3.61,36.66
1.78,301.0,170,51.03,49.7,98.93,4.12,3.50,49.80
1.79,318.3,140,44.56,23.2,89.25,3.99,3.41,16.35
1.80,319.6,233,74.50,43.2,99.77,3.93,3.37,25.30
1.81,384.2,70,27.08,25.5,83.94,3.95,3.22,39.98
1.82,386.3,178,68.82,22.8,98.46,3.77,3.32,33.18
1.83,371.1,169,62.78,46.1,96.45,3.82,3.60,47.53
1.84,384.7,239,91.95,40.6,84.96,4.13,3.65,17.27
1.85,336.2,254,85.57,35.7,81.63,3.96,3.56,16.73
1.86,339.6,251,85.19,42.5,86.70,3.92,3.58,22.77
1.87,384.8,53,20.54,36.2,89.08,4.11,3.41,29.43
1.88,325.5,276,89.89,25.0,84.65,3.93,3.48,49.81
1.89,332.6,174,57.98,48.5,92.55,4.13,3.42,30.04
1.90,369.5,192,71.08,45.2,92.46,3.94,3.49,22.58
1.91,367.3,80,29.30,34.6,95.76,4.18,3.39,49.96
1.92,374.3,87,32.55,43.8,81.06,3.96,3.35,14.27
1.93,391.3,140,54.61,45.5,81.13,4.12,3.61,12.82
1.94,330.6,250,82.71,41.2,91.59,4.04,3.29,16.12
1.95,344.4,225,77.34,44.9,86.73,3.78,3.61,33.28
1.96,378.6,220,83.13,33.3,89.85,4.11,3.20,33.32
1.97,334.9,89,29.74,37.2,87.03,4.14,3.50,41.24
1.98,321.1,298,95.71,37.0,92.77,3.82,3.58,24.70
1.99,331.8,245,81.29,26.2,85.69,4.10,3.28,21.95
2.00,345.0,291,100.27,41.5,86.95,3.96,3.44,15.12
2.01,368.0,151,55.64,36.9,80.29,3.79,3.46,48.26
2.02,364.6,83,30.34,26.8,96.13,3.91,3.51,19.30
2.03,370.6,116,43.02,40.9,98.59,4.16,3.59,28.69
2.04,389.8,109,42.52,26.2,80.49,3.78,3.56,46.00
2.05,319.2,264,84.43,20.1,86.94,4.13,3.37,31.26
2.06,358.7,51,18.19,38.7,81.23,4.08,3.49,36.91
2.07,364.7,295,107.59,34.3,87.53,3.94,3.67,39.74
2.08,369.8,55,20.21,32.5,91.94,3.86,3.37,41.26
2.09,316.8,139,44.05,49.7,80.53,3.80,3.67,28.12
2.10,327.5,106,34.74,33.8,91.09,4.06,3.35,14.75
2.11,326.2,69,22.38,46.0,83.42,4.10,3.30,20.06
2.12,325.6,232,75.68,39.4,93.52,3.81,3.62,29.77
2.13,383.9,196,75.43,42.5,91.19,4.20,3.32,26.76
2.14,364.7,208,76.01,21.1,91.07,3.88,3.59,24.88
2.15,375.6,55,20.56,44.7,95.11,3.88,3.39,27.47
2.16,394.4,188,73.97,32.8,90.13,4.13,3.44,46.49
2.17,362.6,136,49.14,30.5,99.70,4.15,3.22,27.43
2.18,363.8,227,82.71,49.9,94.52,4.18,3.35,34.59
2.19,344.1,258,88.82,38.5,88.99,3.99,3.26,30.02
2.20,371.1,257,95.18,47.6,97.06,3.97,3.67,45.81
2.21,303.6,131,39.76,21.6,82.53,3.81,3.45,10.81
2.22,329.2,221,72.81,37.0,89.08,3.83,3.23,14.70
2.23,331.0,257,84.94,20.9,88.29,4.16,3.29,30.13
2.24,371.8,252,93.74,21.7,85.82,4.03,3.49,46.63
2.25,351.6,157,55.37,24.0,87.37,4.15,3.43,34.11
2.26,338.5,286,96.68,38.0,94.61,3.80,3.40,15.96
2.27,314.8,62,19.61,49.9,86.29,4.17,3.51,26.04
2.28,399.9,273,109.11,33.2,92.14,3.82,3.50,22.72
2.29,351.5,299,105.14,45.1,91.39,3.75,3.65,41.03
2.30,325.5,159,51.75,22.6,87.18,3.90,3.44,46.97
2.31,388.4,157,61.13,40.5,94.63,3.81,3.52,32.80
2.32,375.9,65,24.52,49.3,94.14,3.71,3.44,30.66
2.33,353.9,223,79.08,42.8,93.33,3.77,3.56,44.80
2.34,394.6,241,95.13,24.8,81.97,3.94,3.51,45.71
2.35,361.3,278,100.28,48.7,90.95,4.13,3.46,14.61
2.36,346.2,239,82.62,46.3,80.16,3.72,3.33,40.24
2.37,393.6,265,104.18,45.9,81.32,4.00,3.57,38.66
2.38,374.2,131,49.05,40.8,84.94,3.81,3.67,47.53
2.39,366.5,181,66.22,39.0,94.75,4.19,3.36,15.85
2.40,315.1,55,17.41,24.8,83.21,3.72,3.50,13.07
2.41,393.9,271,106.91,39.8,82.22,3.97,3.64,10.42
2.42,390.5,125,48.68,21.0,98.00,3.76,3.61,44.84
2.43,358.6,116,41.51,29.0,92.77,3.91,3.61,41.86
2.44,323.2,111,35.76,28.1,81.14,3.74,3.40,41.39
2.45,383.8,226,86.63,47.2,91.05,4.13,3.38,42.12
2.46,343.9,58,20.11,24.1,93.86,4.17,3.24,40.39
2.47,322.4,200,64.55,45.1,97.33,3.95,3.56,32.60
2.48,375.8,265,99.47,35.7,92.30,3.81,3.56,38.29
2.49,364.3,147,53.58,21.6,89.33,3.95,3.59,12.71
2.50,359.6,82,29.38,30.4,85.13,3.97,3.67,15.89
2.51,322.9,91,29.45,48.4,89.66,3.82,3.68,10.31
2.52,364.2,158,57.58,25.7,91.39,3.87,3.59,13.19
2.53,384.4,146,56.05,48.1,92.67,3.88,3.65,41.83
2.54,364.6,70,25.68,26.8,88.71,4.05,3.35,35.14
2.55,347.4,173,59.97,38.3,99.28,3.80,3.49,31.16
2.56,369.4,194,71.75,24.0,99.51,3.82,3.35,10.05
2.57,395.6,266,105.21,46.9,83.39,3.70,3.21,40.06
2.58,374.4,152,57.06,38.7,83.55,4.19,3.52,33.34
2.59,308.3,230,70.82,21.4,90.93,3.87,3.51,16.71
2.60,394.2,195,76.87,38.2,82.56,4.10,3.42,16.01
2.61,380.6,251,95.68,39.7,82.31,3.90,3.30,37.59
2.62,321.8,132,42.60,28.0,93.93,4.05,3.26,39.22
2.63,308.1,297,91.45,43.6,84.69,3.73,3.23,34.44
2.64,385.8,71,27.45,32.9,97.98,3.86,3.28,10.56
2.65,328.4,123,40.37,21.3,84.07,3.92,3.40,47.50
2.66,360.4,291,104.95,21.9,91.52,3.98,3.25,44.60
2.67,338.9,245,83.18,45.5,92.81,3.95,3.48,44.44
2.68,359.3,255,91.49,46.8,94.72,4.00,3.43,47.92
2.69,372.1,107,39.93,26.5,81.53,4.18,3.36,47.36
2.70,303.8,106,32.18,34.8,85.33,3.84,3.30,29.06
2.71,302.3,231,69.86,39.7,90.18,3.73,3.33,28.76
2.72,330.3,195,64.31,27.8,96.36,3.90,3.62,37.65
2.73,347.3,87,30.27,34.0,96.65,3.73,3.21,45.33
2.74,373.6,261,97.65,35.0,91.93,3.81,3.23,24.06
2.75,355.8,139,49.52,31.2,84.53,4.02,3.51,32.80
2.76,309.4,109,33.65,26.8,91.06,4.10,3.46,26.72
2.77,365.0,289,105.67,27.8,91.28,3.96,3.58,32.58
2.78,307.5,56,17.35,33.0,84.28,4.10,3.40,21.48
2.79,387.9,90,34.76,47.4,96.68,4.11,3.64,39.80
2.80,322.2,271,87.37,37.7,95.04,4.08,3.64,25.16
2.81,391.4,110,43.12,28.4,85.37,3.96,3.47,13.40
2.82,388.8,110,42.91,21.0,93.91,4.04,3.31,29.31
2.83,333.1,285,94.90,20.4,96.81,4.10,3.56,18.61
2.84,307.7,129,39.57,41.6,99.57,3.88,3.36,27.13
2.85,307.3,217,66.61,44.4,95.08,3.76,3.61,16.47
2.86,378.5,89,33.57,48.4,85.87,3.76,3.60,49.65
2.87,391.7,270,105.75,24.2,82.54,3.87,3.57,45.64
2.88,394.5,195,76.81,47.3,99.55,4.12,3.62,43.48
2.89,392.6,190,74.64,28.7,82.97,4.10,3.37,42.58
2.90,357.5,105,37.56,48.2,91.32,4.00,3.54,31.85
2.91,378.5,67,25.31,36.4,93.26,3.74,3.59,16.38
2.92,343.5,195,67.01,45.5,80.62,3.91,3.43,15.13
2.93,308.8,275,84.98,43.3,85.68,3.71,3.54,44.35
2.94,359.4,214,76.81,24.3,86.72,3.97,3.61,23.70
2.95,366.0,99,36.35,36.8,94.58,4.17,3.53,16.41
2.96,351.1,141,49.51,29.4,95.14,4.17,3.36,29.67
2.97,398.0,160,63.58,23.5,87.63,3.76,3.36,29.46
2.98,332.0,91,30.26,28.5,91.60,4.20,3.36,17.62
2.99,341.3,151,51.42,29.8,90.72,3.72,3.29,41.00
3.00,338.3,123,41.49,29.1,89.39,3.80,3.22,33.07
3.01,353.7,166,58.54,35.8,81.63,4.02,3.52,34.57
3.02,321.6,57,18.26,48.6,88.51,3.95,3.27,23.60
3.03,303.3,120,36.28,24.5,98.90,4.03,3.22,13.95
3.04,396.1,297,117.60,26.6,97.85,4.13,3.34,33.88
3.05,314.8,254,79.94,47.4,98.55,4.06,3.25,41.31
3.06,370.3,239,88.44,34.9,86.97,3.86,3.41,17.88
3.07,337.6,143,48.33,23.3,91.14,4.18,3.48,24.01
3.08,301.2,88,26.55,35.7,90.70,4.20,3.46,33.02
3.09,347.5,127,43.95,25.7,95.75,4.03,3.69,12.70
3.10,321.2,61,19.45,34.9,95.44,4.17,3.42,23.21
3.11,352.3,213,74.96,37.9,86.74,3.90,3.25,33.43
3.12,361.5,78,28.04,30.1,97.98,3.84,3.58,15.46
3.13,366.3,147,53.82,31.8,94.40,3.92,3.60,19.12
3.14,344.9,127,43.92,36.8,93.40,3.98,3.64,16.56
3.15,333.1,203,67.64,43.6,80.30,4.14,3.69,29.56
3.16,350.2,282,98.75,25.9,92.10,3.99,3.21,44.39
3.17,319.6,263,84.16,46.7,87.37,4.09,3.23,31.94
3.18,365.4,76,27.92,21.6,90.29,3.87,3.65,12.94
3.19,334.2,59,19.64,40.0,96.69,4.09,3.49,21.37
3.20,349.8,188,65.63,46.5,88.08,3.81,3.38,16.46
3.21,346.0,99,34.15,23.5,97.11,3.81,3.52,20.15
3.22,345.6,218,75.40,29.0,95.77,3.80,3.39,37.04
3.23,350.7,233,81.80,35.0,90.56,4.16,3.49,16.39
3.24,389.3,183,71.11,43.1,96.08,3.98,3.41,37.91
3.25,330.3,51,16.91,48.9,90.88,3.84,3.51,17.79
3.26,391.1,284,111.14,39.8,82.65,4.07,3.29,45.43
3.27,336.2,141,47.54,21.4,91.47,4.10,3.40,49.64
3.28,381.7,146,55.68,46.3,86.17,3.82,3.70,32.67
3.29,366.4,136,49.92,21.5,92.98,4.10,3.42,16.13
3.30,366.8,134,49.21,27.3,98.30,3.81,3.46,33.84
3.31,379.6,260,98.81,31.9,83.67,4.00,3.56,31.23
3.32,316.5,231,73.12,26.9,95.24,4.18,3.35,29.41
3.33,362.1,72,26.13,27.1,81.03,3.89,3.39,19.86
3.34,359.2,202,72.56,34.5,98.84,3.83,3.33,37.77
3.35,302.9,251,75.88,39.8,91.56,3.76,3.50,10.85
3.36,354.2,170,60.31,23.7,92.73,4.06,3.68,29.96
3.37,362.1,255,92.41,46.6,96.50,4.12,3.37,11.87
3.38,324.8,52,16.93,45.9,96.86,4.13,3.53,18.18
3.39,323.3,278,89.83,27.3,86.63,3.97,3.28,15.45
3.40,392.2,193,75.66,25.5,96.81,3.86,3.47,13.16
3.41,360.8,78,28.04,32.4,93.16,4.00,3.33,48.83
3.42,378.7,199,75.42,23.5,88.29,3.73,3.38,41.24
3.43,379.3,249,94.36,42.1,85.48,3.72,3.29,22.37
3.44,357.0,271,96.63,29.2,83.73,3.80,3.52,37.96
3.45,324.9,226,73.36,49.5,90.75,3.80,3.22,35.62
3.46,389.8,162,63.25,25.6,85.22,4.00,3.58,27.83
3.47,331.5,81,26.95,47.5,89.53,3.79,3.52,15.14
3.48,377.7,162,61.26,37.0,85.33,4.02,3.32,11.52
3.49,322.8,77,24.98,34.1,87.85,3.89,3.56,31.52
3.50,389.3,83,32.32,46.3,97.22,4.04,3.63,45.83
3.51,334.6,188,62.75,20.4,88.86,3.99,3.27,20.19
3.52,375.8,147,55.22,41.3,80.22,3.70,3.41,28.90
3.53,325.4,155,50.29,28.1,91.12,3.80,3.40,36.79
3.54,333.9,228,76.27,46.0,84.36,4.18,3.25,26.85
3.55,399.3,60,24.00,38.5,90.17,3.81,3.58,27.23
3.56,389.9,188,73.43,44.7,81.30,4.15,3.31,28.82
3.57,372.2,240,89.50,31.5,87.53,4.05,3.67,35.57
3.58,371.4,201,74.77,29.2,89.65,3.97,3.59,10.26
3.59,383.7,86,33.07,26.8,92.42,4.18,3.28,40.58
3.60,334.7,74,24.62,35.1,95.86,3.87,3.68,24.22
3.61,386.5,162,62.64,34.7,85.82,4.11,3.60,34.71
3.62,395.2,172,67.80,45.2,85.21,4.12,3.31,21.17
3.63,343.5,128,43.82,20.8,93.53,3.70,3.49,12.48
3.64,340.9,199,67.98,33.3,99.02,4.17,3.35,24.97
3.65,366.8,270,99.00,37.5,87.28,3.71,3.56,43.97
3.66,315.7,253,80.03,25.7,94.38,3.71,3.51,45.40
3.67,365.8,146,53.43,30.8,82.27,3.73,3.46,46.49
3.68,378.4,169,63.94,23.5,86.62,4.01,3.55,28.25
3.69,385.0,62,23.79,30.2,97.39,3.95,3.58,21.36
3.70,360.7,114,41.26,46.9,96.37,3.95,3.48,21.12
3.71,349.6,259,90.46,48.7,99.59,3.72,3.61,40.00
3.72,321.4,71,22.78,45.1,97.97,3.81,3.47,45.35
3.73,340.4,167,56.77,21.0,88.13,4.20,3.50,22.26
3.74,376.7,263,98.97,45.5,90.68,3.77,3.40,12.07
3.75,312.6,166,51.89,28.8,91.05,3.73,3.38,21.51
3.76,364.1,90,32.65,30.5,91.64,3.76,3.35,35.47
3.77,396.4,176,69.64,49.1,85.44,4.09,3.50,18.11
3.78,379.1,266,100.82,32.4,90.17,3.72,3.21,39.18
3.79,398.4,77,30.69,33.4,97.81,3.99,3.35,13.49
3.80,362.0,186,67.20,30.4,83.32,4.11,3.40,40.51
3.81,330.8,220,72.88,44.7,97.47,4.04,3.37,42.13
3.82,334.8,270,90.30,27.8,87.28,3.80,3.28,23.44
3.83,360.0,271,97.44,21.3,80.36,4.03,3.42,36.28
3.84,305.1,276,84.33,40.7,90.81,3.70,3.43,23.76
3.85,396.0,206,81.65,23.2,99.07,4.10,3.48,29.29
3.86,318.3,197,62.67,39.1,87.00,3.85,3.24,35.43
3.87,322.9,96,31.02,35.8,87.51,4.12,3.32,10.79
3.88,366.0,126,45.95,24.4,83.30,3.72,3.65,20.31
3.89,377.5,83,31.45,30.0,93.58,3.76,3.47,25.52
3.90,325.4,89,28.90,32.3,87.93,3.90,3.27,26.69
3.91,329.5,152,50.15,40.0,87.22,4.02,3.69,42.85
3.92,372.2,91,33.94,25.0,83.17,4.10,3.54,22.01
3.93,332.3,290,96.22,43.7,95.33,3.87,3.59,26.29
3.94,345.4,125,43.35,40.1,83.64,3.93,3.58,49.01
3.95,302.9,79,23.96,49.4,88.80,4.15,3.40,24.59
3.96,389.3,170,66.21,44.1,88.12,3.74,3.48,12.16
3.97,396.8,92,36.50,35.6,86.43,3.77,3.66,47.27
3.98,319.7,205,65.67,38.9,81.49,4.01,3.70,43.63
3.99,310.7,299,92.95,25.4,83.30,4.09,3.28,37.70
4.00,304.8,97,29.45,41.6,98.02,4.06,3.23,27.17
4.01,347.8,296,102.99,30.8,84.99,4.09,3.52,29.44
4.02,313.4,88,27.46,45.8,86.64,3.78,3.68,43.29
4.03,349.5,137,47.91,31.0,85.36,4.00,3.44,41.46
4.04,348.4,206,71.85,27.2,86.23,4.00,3.52,46.80
4.05,398.1,251,99.75,32.6,88.27,3.78,3.45,38.74
